гаскойн,река,австралия,	Gascoyne_River
ди,река,впадает в северное море,шотландия,	River_Dee,_Aberdeenshire
волхов,россия,волхов (город),кириши,новая ладога,великий новгород	Volkhov_River
рёума,река,,	Rauma_(river)
белиз,река,,	Belize_River
мехреньга,,	Mekhrenga_River
литл-саскачеван,,	Little_Saskatchewan_River
амель,река,,	Amblève_(river)
дюльбах,,	Dühlbach
мюльмиш,,	Mülmisch
богота,река,,	Bogotá_River
фёй,река,канада,	Leaf_River_(Quebec)
сытке,,	Sõtke_(river)
сегре,река,,	Segre_(river)
энс,река,,	Enns_(river)
лайтцах,,	Leitzach
пираньяс,река,бразилия,	Piranhas_River
стикс,река,тасмания,,	Styx_River_(Tasmania)
волга,россия,астрахань,казань,нижний новгород,самара,саратов,тверь,ульяновск,волгоград,ярославль	Volga_River
потомак,соединённые штаты америки,александрия (виргиния),арлингтон (округ, виргиния),вашингтон (округ колумбия)	Potomac_River
йи,река,,	Yí_River
льянкиуэ,река,,	Llanquihue_River
линде,река,,	Linde_River
сейм,река,,	Seym_River
ванбах,,	Wahnbach
эрфт,,	Erft
сефидруд,иран,	Sefīd-Rūd
тауи,река,,кармартен	River_Towy
йом,река,таиланд,	Yom_River
сейль-эз-зарка,иордания,амман,джараш,эз-зарка	Zarqa_River
френч-ривер,канада,	French_River_(Ontario)
магдалена,река,колумбия,онда (толима)	Magdalena_River
рашка,река,,	Raška_(river)
дора-бальтеа,,	Dora_Baltea
лезум,германия,бремен	Lesum
уршпринг,,	Urspring_(Ach)
штарцель,,	Starzel_(Neckar)
фехте,,	Vechte
мже,чехия,	Mže
и,река,,	Itter_(Rhein)
геле,,	Gehle
хергстбах,,	Hergstbach
кияук,,	Kiyauk_River
крульсбах,,	Krullsbach
ирпень,река,,	Irpin_River
пяндж,,	Panj_River
нёлленбергер-бах,,	Nöllenberger_Bach
белт-крик,,	Belt_Creek_(Montana)
косьва,,	Kosva_River
анкобра,гана,	Ankobra_River
эльзебах,,	Elsebach
браубах,река,,	Braubach_(Liederbach)
аржанс,река,,	Argens
патия,река,,	Patía_River
махананда,бангладеш,	Mahananda_River
кембах,,	Kembach_(Main)
штромбах,,	Strombach_(Agger)
кандер,река,впадает в тунское озеро,швейцария,	Kander_(Switzerland)
гильбах,,	Gillbach
ульстер,река,,	Ulster_(river)
сарстун,,	Sarstoon_River
лерма,река,,	Lerma_River
тибр,,	Tiber
остшайдер-бах,,	Ostscheider_Bach
атабаска,река,канада,	Athabasca_River
шварце-лаутер,,	Black_Lauter
бигхорн,река,,	Bighorn_River
аллен,река,,	Allaine_(river)
эцталер-ахе,,	Ötztaler_Ache
гундбах,,	Gundbach
ремс,,	Rems
олбани,река,канада,	Albany_River
бырлад,река,румыния,васлуй,бырлад,текуч	Bârlad_River
рио-гранде,река,впадает в мексиканский залив,мексика,	Rio_Grande
дордонь,река,,	Dordogne_(river)
обва,,	Obva_River
ядар,,	Jadar_(Drina)
репабликан,,	Republican_River
биа,кот-д’ивуар,	Bia_River
вирвите,,	Virvytė
папалоапан,мексика,	Papaloapan_River
моша,,	Mosha_River
вальдангельбах,,	Waldangelbach
кондурча,,	Kondurcha_River
айфгенбах,,	Eifgenbach
х,река,,	Holzbach_(Usa)
рона,франция,	Rhône
киевка,река,впадает в японское море,,	Kiyevka_River
сун-коси,,	Sun_Kosi
гдовка,,	Gdovka_River
амедичи,,	Amedichi_River
шпре,,	Spree
иййоки,река,впадает в балтийское море,,	Iijoki
акчим,,	Akchim_River
мараньон,перу,	Marañón_River
шмуттер,,	Schmutter
зильбербах,,	Silberbach_(Heubach)
пуста,река,,	Pusta_River_(South_Morava)
аллаиха,,	Allaikha_River
буш,река,северная ирландия,бушмилс	River_Bush
кайнах,,	Kainach_(Wiesent)
румбах,ручей,	Rumbach_(Ruhr)
такуарембо,река,,	Tacuarembó_River
гвадаррама,река,,	Guadarrama_(river)
крабах,,	Krabach
штайнебах,река,,	Steinebach_(Kinzig)
большая кумина,,	Bolshaya_Kumina_River
расина,,	Rasina_(river)
регниц,,	Regnitz
арв,,	Arve
липпингхаузер-бах,,	Lippinghauser_Bach
роттах,,	Rottach_(Iller)
селенга,,	Selenga_River
марджери,река,,	Margaree_River
шлойзе,,	Schleuse_(river)
калм,река,англия,	River_Culm
шписбах,,	Spießbach_(Nidder)
айвишак,,	Ivishak_River
рио-дульсе,река,впадает в карибское море,,	Dulce_River_(Guatemala)
грюнбах,,	Grünbach_(Tauber)
тиса,венгрия,	Tisza
падма,,	Padma_River
дюссель,,	Düssel
к,река,,	Kuta_River
ачанковил,,	Achankovil
з,река,,	Sulzbach_(Nidda)
к,река,айдахо (округ, айдахо),льюистон (айдахо)	Clearwater_River_(Idaho)
охота,река,,	Okhota_River
гальего,река,,	Gállego_(river)
крёз,река,,	Creuse_(river)
флёрсбах,,	Flörsbach_(Lohr)
рамхольцер-вассер,,	Ramholzer_Wasser
каслтаун,река,,	Castletown_River
яренга,,	Yarenga_River
любосеевка,россия,фрязино	Lyuboseyevka_River
тулпан,,	Tulpan_River
хёрстер-бах,,	Hörster_Bach
мес,,	Mess_(river)
г,река,соединённые штаты америки,грин-ривер (вайоминг)	Green_River_(Colorado_River)
хюрбе,,	Hürbe
клайне-эльстер,,	Kleine_Elster
друть,,	Drut_River
ралья,,	Ralja_(river)
катунь,россия,	Katun_River
сак,река,,	River_Suck
уир,река,англия,дарем,сандерленд	River_Wear
вьенна,река,,	Vienne_(river)
нкуси,уганда,	Nkusi_River
эфтер-бах,,	Oefter_Bach
ривьер-де-миль-иль,,	Rivière_des_Mille_Îles
мерсед,река,мадера (округ),el portal, california,livingston, california	Merced_River
евфрат,ирак,	Euphrates
уурэ-гол,монголия,	Üür_River
пиксвагер-бах,,	Pixwaager_Bach
теннесси,река,,	Tennessee_River
буксах,,	Buxach_(Iller)
нёне,река,,	Neuné
годавари,индия,нандер,насик,низамабад (телангана),раджамандри	Godavari_River
инн,река,,	Inn_(river)
блеон,,	Bléone
рёр,река,,	Röhr_(river)
эйвон,река,впадает в ла-манш,уилтшир,	River_Avon,_Hampshire
мадисон,река,,	Madison_River
пилчак,река,,snohomish, washington,granite falls, washington	Pilchuck_River
калавон,,	Calavon
од,река,,	Aude_(river)
глухая вильва,,	Glukhaya_Vilva_River
сота,,	Sota_River
шпрунгбах,,	Sprungbach
рю-де-ма,,	Rupt_de_Mad
линнепе,,	Linnepe_(Röhr)
ториса,,	Torysa_(river)
каракаш,река,,	Karakash_River
тодбах,,	Todbach
димель,,	Diemel
хайденбах,,	Heidenbach
джефферсон,река,,	Jefferson_River
ом,река,,	Ohm_(river)
коюкук,река,,аллакакет (аляска),беттлс (аляска),эвансвилл (аляска),хьюс (аляска),хуслия (аляска)	Koyukuk_River
сакмара,,	Sakmara_River
бхаратапужа,индия,	Bharathappuzha
зефе,,	Seeve
лисварта,,	Liswarta
ампква,река,соединённые штаты америки,	Umpqua_River
перл,река,,	Pearl_River_(Mississippi–Louisiana)
симаррон,река,симаррон (округ, оклахома),кушинг (оклахома)	Cimarron_River_(Arkansas_River)
гордон,река,тасмания,,	Gordon_River
лизер,река,,	Lieser_(river)
кола,река,,	Kola_River
малый иргиз,,	Maly_Irgiz_River
литл-теннесси,джорджия,	Little_Tennessee_River
ч,река,,	Chyornaya_River
аннаполис,река,,	Annapolis_River
друзель,,	Drusel
сигуэла,,	Cigüela
центбах,,	Zentbach
уэнатчи,река,,	Wenatchee_River
зёстбах,,	Soestbach
колумбия,река,,астория (орегон),портленд (орегон),ванкувер (вашингтон)	Columbia_River
фолья,,	Foglia
потенжи,река,бразилия,	Potenji_River
псоу,река,,	Psou_River
мёне,,	Möhne
ривьер-де-прери,,	Rivière_des_Prairies
ловать,,	Lovat_River
керспе,,	Kerspe
бушо,река,,	Bouchot
мезенская пижма,,	Mezenskaya_Pizhma_River
г,река,,	Wild_Gutach
моравска-дие,,	Moravian_Thaya
арно,река,впадает в лигурийское море,,	Arno
пил,река,канада,	Peel_River_(Canada)
фьер,река,,	Fier_(river)
меэ,,	Mehe
шиффлахе,,	Schifflache
нистер,река,,	Nister_(river)
грубе,ручей,	Grube_(Weser)
сясь,,	Syas_River
марпе,,	Marpe_(Salwey)
хатт,река,,	Hutt_River_(New_Zealand)
фойл,северная ирландия,дерри,страбан	River_Foyle
тетерев,река,,	Teteriv_River
блава,словакия,	Blava
уэст-форк,река,соединённые штаты америки,	West_Fork_River
шелберн,река,,	Shelburne_River
изер,река,впадает в северное море,,	Yser
тромбетас,бразилия,	Trombetas_River
кемниц,река,,	Chemnitz_(river)
р,река,соединённые штаты америки,	Rock_River_(Big_Sioux_River)
кильфербах,,	Kilverbach
оттер-крик,река,,ратленд (вермонт)	Otter_Creek_(Vermont)
альма,,	Alma_River_(Crimea)
ингури,,	Inguri_River
умгени,южно-африканская республика,	Umgeni_River
бевера,,	Bévéra
гравона,,	Gravona
клингенграбен,,	Klingengraben
вефсна,норвегия,мушёэн	Vefsna
стрый,река,украина,	Stryi_River
оирасэ,река,,	Oirase_River
керулен,монголия,	Kherlen_River
айзак,,	Eisack
флумендоса,,	Flumendosa
бойн,,	River_Boyne
деруэнт,река,тасмания,австралия,хобарт,нью-норфолк (тасмания)	River_Derwent_(Tasmania)
малый черемшан,,	Maly_Cheremshan_River
ижора,река,,	Izhora_River
дункан,река,,	Duncan_River
куогги,,	River_Quaggy
фольках,река,,	Volkach_(river)
телесбах,,	Tälesbach
койва,,	Koyva_River
хённе,,	Hönne
пас,река,испания,	Pas_(river)
хёршбах,,	Hörschbach
айх,,	Aich_(river)
дойтерграбен,,	Deutergraben
полуй,,	Polui_River
сент-джон,река,квебек,сент-джон (нью-брансуик)	Saint_John_River_(Bay_of_Fundy)
свирь,река,,	Svir_River
трубах,,	Trubach
торса,река,бутан,	Torsa_River
йорк,река,соединённые штаты америки,	York_River_(Virginia)
кеннебек,река,,	Kennebec_River
моравица,,	Golijska_Moravica
дудх-коси,,	Dudh_Kosi
хабур,сирия,рас-эль-айн,эль-хасака	Khabur_River
зимняя золотица,,	Zolotitsa_River
авонбег,,	River_Avonbeg
гаульбах,,	Gaulbach
маханади,индия,сонепур	Mahanadi
атрай,река,бангладеш,	Atrai_River
ха-чу,,	Ha_Chhu
мудыль,,	Mudyl_River
чесма,река,,	Česma
в,река,,лампанг	Wang_River
лупче-савино,река,россия,	Lupche-Savino_River
дешут,дейшут (округ, орегон),	Deschutes_River_(Oregon)
ферзе,,	Verse_(river)
лодденбах,,	Loddenbach
нарын,река,киргизия,кара-куль,таш-кумыр,нарын,нарынская область,джалал-абадская область	Naryn_River
скулкилл,река,соединённые штаты америки,филадельфия,рединг (пенсильвания)	Schuylkill_River
хауптграбен,,	Haggraben
инноко,,	Innoko_River
ремерло-меннигхюффер-мюленбах,,	Rehmerloh-Mennighüffer_Mühlenbach
дюте,,	Düte
имонт,,	River_Eamont
северная кельтма,,	North_Keltma_River
оттава,река,оттава (квебек),	Ottawa_River
мяркис,,	Merkys
барл,англия,	River_Barle
эксплойтс,канада,	Exploits_River
хрудимка,чехия,	Chrudimka
шожма,,	Shozhma_River
писа,,	Pisa_(river)
загебах,,	Sagebach
шпёль,,	Spöl
кашинка,река,,	Kashinka_River
го,река,,	Gōnokawa_River
гуадальмедина,,	Guadalmedina
лашва,,	Lašva
тигр,река,ирак,багдад,мосул,диярбакыр	Tigris
аура,река,,	Aura_(Sinn)
ахер,река,,	Acher
гранд-ривер,река,впадает в эри,,	Grand_River_(Ontario)
сан-хасинто,река,риверсайд (округ),лейк-элсинор,перрис,сан-джасинто	San_Jacinto_River_(California)
хоби,река,,	Khobi_(river)
тольтен,река,,	Toltén_River
пампанга,река,филиппины,кабанатуан	Pampanga_River
ланценбах,,	Lanzenbach_(Weißach)
пёза,,	Pyoza_River
арджеш,река,румыния,олтеница,куртя-де-арджеш,питешти	Argeș_River
касикьяре,венесуэла,	Casiquiare_canal
лепона,,	Liepona
уонгануи,река,,	Whanganui_River
шуттер,,	Schutter_(Kinzig)
бос,река,,	Bos_(Nahe)
гумиста,река,,	Gumista_River
житава,,	Žitava_(river)
